,http2,http3
87,0.044792,0.04875
88,0.082981,0.039432
89,0.109961,0.044788
90,0.056461,0.053961
91,0.048059,0.062297
92,0.08566,0.046877
93,0.087663,0.052879
94,0.119345,0.081849
95,0.064127,0.064232
96,0.039358,0.083891
97,5.146386,0.054077
98,0.071347,0.109653
99,0.066013,0.06529
100,0.064601,0.063529
101,0.053411,0.110576
102,0.07986,0.080737
103,0.085626,0.223423
104,0.054515,5.095954
105,0.078241,0.11328
106,0.04572,0.070114
107,0.081365,0.077865
108,0.059509,0.08813
109,0.086426,0.084596
110,0.042934,0.095311
111,0.033687,0.096794
112,0.048518,0.107097
113,0.079419,0.05031
114,0.078796,0.05068
115,1.110247,0.04852
116,0.05623,0.054308
117,0.082375,0.056433
118,0.053382,0.071088
119,0.059418,0.043763
120,0.064725,0.042894
121,0.043777,0.050375
122,0.074293,0.069925
123,0.047139,0.08488
124,0.047814,0.039255
125,0.039081,0.043338
126,0.039144,0.046346
127,0.038239,0.067828
128,0.132265,0.038564
129,0.105124,0.052559
130,0.041434,0.035618
131,0.050691,0.063137
132,0.04641,0.048776
133,0.048646,0.054587
134,0.038772,0.105425
135,0.049369,0.056631
136,0.068859,0.053201
137,0.055404,0.067092
138,0.036136,0.046814
139,0.037464,0.05276
140,0.066303,0.046553
141,0.064211,0.05196
142,0.036455,0.054673
143,0.038915,0.04499
144,0.055347,0.040477
145,0.039662,0.102671
146,0.047624,0.2153
147,0.075425,0.076459
148,0.060486,0.057471
149,0.11816,0.060856
150,0.064164,0.075829
151,0.061675,0.071549
152,0.039427,0.051563
153,0.039684,0.042244
154,0.107528,0.136088
155,0.046245,0.072887
156,0.043617,0.043518
157,0.121002,0.073072
158,0.105123,0.059484
159,0.056019,0.074387
160,0.051714,0.050193
161,0.042999,0.036205
162,0.037627,0.106616
163,0.103664,0.1371
164,0.041768,0.047248
165,0.048481,0.05212
166,0.119322,0.040468
167,0.054426,0.054724
168,0.075996,0.038516
169,0.054789,0.12459
170,0.034283,0.045801
171,0.056034,0.040403
172,0.035601,0.051295
173,0.068726,0.101592
174,0.045924,0.044761
175,0.037827,0.049131
176,0.060003,0.046471
177,0.048142,0.05061
178,0.03695,0.05564
179,0.087457,0.094643
180,0.036675,0.063854
181,0.041974,0.047759
182,0.052477,0.082635
183,0.04986,0.043117
184,0.037424,0.06078
185,0.032542,0.074785
186,0.03964,0.051677
187,0.040088,0.053709
188,0.040334,0.091649
189,0.036682,0.054494
190,0.079032,0.039931
191,0.056983,0.045626
192,0.036125,0.047916
193,0.041562,0.052059
194,0.065452,0.070118
195,0.04958,0.063733
196,0.040473,0.038387
197,0.048372,0.084993
198,0.034579,0.036749
199,0.073665,0.050164
200,0.055583,0.039345
201,0.05601,0.060579
202,0.046989,0.049874
203,0.047535,0.074758
204,0.044226,0.037535
205,0.098973,0.052335
206,0.10181,0.046883
207,0.051357,0.036705
208,0.053989,0.050546
209,0.052415,0.035363
210,0.049502,0.07034
211,0.053243,0.064203
212,0.046879,0.103797
213,0.095606,0.039012
214,0.041264,0.058411
215,0.040395,0.058269
216,0.061587,0.061269
217,0.118645,0.036278
218,0.066562,0.066862
219,0.055164,0.045887
220,0.051579,0.079115
221,0.089402,0.061303
222,0.040075,0.043747
223,0.059571,0.061598
224,0.035351,0.039801
225,0.122243,0.096879
226,0.038704,0.073777
227,0.059575,0.056258
228,0.03673,0.053188
229,0.050761,0.061662
230,0.046434,0.037087
