,http2,http3
189,0.051981,0.032138
190,0.075588,0.059094
191,0.034584,0.041021
192,0.041627,0.047224
193,0.037838,0.050127
194,0.045038,0.047657
195,0.052659,0.038865
196,0.043935,0.038592
197,0.063739,0.034317
198,0.039192,0.037925
199,0.034445,0.054886
200,0.040508,0.040294
201,0.032553,0.05146
202,0.052898,0.045603
203,0.039992,0.061489
204,0.061981,0.089833
205,0.037757,0.038584
206,0.033,0.050932
207,0.049337,0.044557
208,0.033449,0.038582
209,0.04205,0.036518
210,0.043401,0.069146
211,0.044636,0.036931
212,0.034823,0.034484
213,0.050699,0.062178
214,0.03687,0.048371
215,0.070873,0.039342
216,0.044145,0.043077
217,0.034225,0.046793
218,0.079542,0.037261
219,0.031922,0.044798
220,0.05279,0.040456
221,0.032389,0.039558
222,0.05665,0.04474
223,0.03714,0.048873
224,0.070013,0.048966
225,0.042315,0.0464
226,0.054281,0.035988
227,0.068349,0.053616
228,0.050131,0.03322
229,0.074758,0.121778
230,0.033987,0.046018
231,0.079308,0.044463
232,0.033661,0.119769
233,0.047305,0.032274
234,0.036596,0.046639
235,0.049826,0.056683
236,0.117824,0.047272
237,0.032207,0.036254
238,0.03661,0.035738
239,0.040771,0.048645
240,0.108556,0.034701
241,0.040315,0.050804
242,0.055103,0.050632
243,0.035543,0.059029
244,0.04182,0.044477
245,0.050107,0.040531
246,0.03252,0.042262
247,0.05649,0.104682
248,0.04939,0.032551
249,0.046273,0.060594
250,0.03342,0.038483
251,0.078913,0.051961
252,0.058893,0.050447
253,0.031298,0.055691
254,0.042506,0.041117
255,0.031548,0.038671
256,0.034284,0.043817
257,0.037816,0.035696
258,0.034768,0.042064
259,0.035029,0.068189
260,0.044934,0.041766
261,0.042364,0.032713
262,0.055267,0.035535
263,0.031969,0.041031
264,0.035425,0.063696
265,0.054708,0.045462
266,0.040851,0.054729
267,0.102254,0.048216
268,0.064747,0.047324
269,0.035927,0.069464
270,0.038795,0.059057
271,0.064292,0.045469
272,0.063097,0.03504
273,0.038849,0.045255
274,0.042415,0.055442
275,0.051941,0.058382
276,0.131084,0.056445
277,0.033746,0.039051
278,0.049356,0.117853
279,0.0556,0.047515
280,0.046004,0.045748
281,0.038461,0.043509
282,0.031663,0.072268
283,0.03611,0.0356
284,0.03349,0.046814
285,0.040877,0.058217
286,0.034812,0.056866
287,0.037766,0.037843
288,0.062536,0.040474
289,0.035073,0.223666
290,0.038635,0.037713
291,0.036457,0.054576
292,0.06083,0.043845
293,0.032679,0.052845
294,0.048222,0.048304
295,0.037042,0.046511
296,0.040978,0.050254
297,0.041544,0.07282
298,0.032949,0.043123
299,0.114507,0.038694
300,0.035045,0.050555
301,0.035409,0.046027
302,0.046591,0.045341
303,0.049585,0.037389
304,0.04212,0.045954
305,0.033573,0.057068
306,0.051302,0.065431
307,0.053089,0.043932
308,0.07822,0.095422
309,0.042546,0.047488
310,0.060573,0.083135
311,0.069131,0.04033
312,0.065483,0.063677
313,0.047958,0.06833
314,0.055353,0.043495
315,0.040277,0.090569
316,0.089528,0.070443
317,0.033882,0.060297
318,0.040058,0.044559
319,0.031716,0.037287
320,0.056304,0.04982
321,0.03981,0.065785
322,0.037181,0.041102
323,0.040629,0.036686
324,0.038596,0.033106
325,0.033879,0.05268
326,0.033518,0.046251
327,0.035616,0.03798
328,0.044655,0.067963
329,0.086415,0.035583
330,0.032372,0.032896
331,0.091259,0.040067
332,0.059059,0.063573
333,0.03195,0.035491
334,0.071419,0.048412
335,0.039535,0.051607
336,0.030228,0.036191
337,0.043641,0.057014
338,0.032789,0.037756
339,0.033518,0.070565
340,0.086691,0.050717
341,0.127116,0.055733
342,0.033824,0.047723
343,0.060091,0.044964
344,0.042986,0.055071
345,0.043632,0.048416
346,0.047723,0.04071
347,0.052673,0.049528
348,0.056129,0.038961
349,0.030737,0.037532
350,0.038881,0.0508
351,0.033006,0.046739
352,0.068081,0.106514
353,0.042333,0.05035
354,0.047465,0.05414
355,0.034702,0.036152
356,0.032397,0.070227
357,0.043726,0.034184
358,0.033312,0.051841
359,0.042744,0.08226
360,0.039194,0.037972
361,0.031593,0.050121
362,0.074549,0.065819
363,0.036335,0.048733
364,0.042725,0.043588
365,0.047942,0.056156
366,0.036547,0.050465
367,0.033905,0.049503
368,0.044634,0.03391
369,0.083721,0.04217
