,http2,http3
155,0.09664,0.098726
156,0.10422,0.086457
157,0.099262,0.090727
158,0.090693,0.115818
159,0.128389,0.087476
160,0.14093,0.094285
161,0.104027,0.237275
162,0.195556,0.101458
163,0.111386,0.104012
164,0.114004,0.101099
165,0.096251,0.097836
166,0.127431,0.325376
167,0.157871,0.126765
168,0.094045,0.090619
169,0.104727,0.104578
170,0.15298,0.095543
171,0.118606,0.116402
172,0.097891,0.092452
173,0.157542,0.122013
174,0.159365,0.087826
175,0.11886,0.097951
176,0.150395,0.094238
177,0.104875,0.093543
178,0.128225,0.090037
179,0.116658,0.134753
180,0.106828,0.11578
181,0.146325,0.145067
182,0.109148,0.095128
183,0.080746,0.119584
184,0.09624,0.113761
185,0.122155,0.102499
186,0.124201,0.09656
187,0.110695,0.113503
188,0.123432,0.255066
189,0.092676,0.087854
190,0.145214,0.106581
191,0.089713,0.111069
192,0.107977,0.280318
193,0.141008,0.126881
194,0.215937,0.105309
195,0.094836,0.090046
196,0.115049,0.099389
197,0.152782,0.099031
198,0.133869,0.084427
199,0.103529,0.090149
200,0.116723,0.12948
201,0.100906,0.101817
202,0.095473,0.080733
203,0.111664,0.099138
204,0.080011,0.105078
205,0.101433,0.100202
206,0.149615,0.083929
207,0.089313,0.105031
208,0.089766,0.100547
209,0.098636,0.089428
210,0.108942,0.098547
211,0.138009,0.085011
212,0.153603,0.094314
213,0.08271,0.121632
214,0.091934,0.121343
215,0.090638,0.137794
216,0.082378,0.080021
217,0.125763,0.089109
218,0.123142,0.088042
219,0.197173,0.112133
220,0.08682,0.084691
221,0.135148,0.11575
222,0.101883,0.129471
223,0.111248,0.10403
224,0.105458,0.119822
225,0.109364,0.11465
226,0.129686,0.097322
227,0.112603,0.093178
228,0.090218,0.139376
229,0.102271,0.084909
230,0.103886,0.116621
231,0.10273,0.098301
232,0.106419,0.111811
233,0.111236,0.079358
234,0.139536,0.096639
235,0.125724,0.084525
236,0.098141,0.124691
237,0.121845,0.114331
238,0.142166,0.142848
239,0.116581,0.082916
240,0.139009,0.251677
241,0.095616,0.084678
242,0.08596,0.088267
243,0.162773,0.122167
244,0.084684,0.097244
245,0.095146,0.097238
246,0.092542,0.085653
247,0.145804,0.092194
248,0.103352,0.11429
249,0.086519,0.231521
250,0.09428,0.084429
251,0.100315,0.092961
252,0.114206,0.119189
253,0.092251,0.09278
254,0.101034,0.089127
255,1.120427,0.101697
256,0.09111,0.100411
257,0.179732,0.112347
258,0.111911,0.23891
259,0.105124,0.099277
260,0.118587,0.144751
261,0.108565,0.104527
262,0.131433,0.120781
263,0.095789,0.090882
264,0.077017,0.093486
265,0.095101,0.095509
266,0.095665,0.122247
267,0.117691,0.093299
268,0.129998,0.109027
269,0.088649,5.121592
270,0.131046,0.101665
271,0.101319,0.130891
272,0.109886,0.136998
273,0.113632,0.078875
274,0.108393,0.086026
275,0.157251,0.146206
276,0.096945,0.128022
277,0.100301,0.103172
278,0.087224,0.220854
279,0.093195,0.083803
280,0.116869,0.356744
281,0.098379,0.096002
282,0.141614,0.086281
283,0.146249,0.10114
284,0.111221,0.093457
285,0.13299,0.088404
286,0.109408,0.097376
287,0.116956,0.109762
288,0.172286,0.08788
289,0.099833,0.086519
290,0.089364,0.093239
291,0.105242,0.149928
292,0.100319,0.100926
293,0.085507,0.113655
294,0.310811,0.103441
295,0.12381,0.104444
296,0.120146,0.114463
297,0.10705,0.101175
298,0.089643,0.113465
299,0.101552,0.091829
300,0.097275,0.119979
301,0.107564,0.119812
302,0.154869,0.113631
303,0.109556,0.222218
304,0.097601,0.143608
305,0.142869,0.100326
306,0.120021,0.082879
307,0.093033,0.1029
308,0.122517,0.093545
309,0.0888,0.125043
310,0.162058,0.10142
311,0.151411,0.099555
312,0.144127,0.082803
313,0.118673,0.114736
314,0.13978,0.102232
315,0.147776,0.119162
316,0.088038,0.117624
317,0.107886,0.113038
318,0.095334,0.112316
319,0.132376,0.105749
320,0.111452,0.125312
321,0.114181,0.123847
322,0.105105,0.110804
323,0.110198,0.11528
324,0.083077,0.10877
325,0.092839,0.113928
326,0.111119,0.119729
327,0.098342,0.109883
328,0.109571,0.111625
329,0.136651,0.095835
330,0.134045,0.100461
331,0.136328,0.108652
332,0.342539,0.102276
333,0.119712,0.110375
334,0.11425,0.123309
335,0.136647,0.110678
336,0.085652,0.109372
337,0.085605,0.099232
338,0.118858,0.135401
339,0.254353,0.087524
340,5.099589,0.137578
341,0.095959,0.092157
342,0.099819,0.130165
343,0.101925,5.138956
344,0.086031,0.114893
345,0.09629,0.118098
346,0.142192,0.096272
347,0.108005,0.1102
348,0.099422,0.091405
349,0.114815,0.100284
350,0.101764,0.102957
351,0.108856,0.125453
352,0.090758,0.20832
353,0.12005,0.113975
354,0.174335,0.092628
355,0.113156,0.080135
356,0.128031,0.096244
357,0.096276,0.101008
358,0.093688,0.109358
359,0.087883,0.104823
360,0.092033,0.079769
361,0.126302,0.103388
362,0.086062,0.126703
363,0.102039,0.091164
364,0.082096,0.095378
365,0.118999,0.109204
366,0.141441,0.118467
367,0.098983,0.084071
368,0.101361,0.08755
369,0.091075,0.103886
370,0.120604,0.088564
371,0.106907,0.12517
372,0.093072,0.119098
373,0.088368,0.111271
374,0.123702,0.100756
375,0.110112,0.102629
376,0.103397,0.102152
377,0.11034,0.105284
378,0.095732,0.133858
379,0.102058,0.140921
380,0.095847,0.098928
381,0.116102,0.121066
382,0.149927,0.080989
383,0.1198,0.087717
384,0.118205,0.095597
385,0.140801,0.090034
386,0.130275,0.109361
387,0.118689,0.139522
388,0.110167,0.104892
389,0.135265,0.104188
390,0.113898,0.113582
391,0.13248,0.104008
392,0.125195,0.121388
393,0.124937,0.095244
394,0.125718,0.096338
395,0.109321,0.107803
396,0.085629,0.100558
397,0.104764,0.103899
398,0.107297,0.162888
399,0.113558,0.090678
400,0.086765,0.133508
401,0.103238,0.191472
402,0.080951,0.083073
403,0.131616,0.093345
404,0.110987,0.105132
405,0.141047,0.121689
406,0.100479,0.128925
407,0.140586,0.111865
408,0.095396,0.106869
409,0.478286,0.101417
410,0.101246,0.082032
411,0.134057,0.102503
412,0.088078,0.118329
413,0.101667,0.155575
414,0.126257,0.111658
415,0.192696,0.085386
416,0.104088,0.097441
417,0.105282,0.104013
418,0.126733,0.22141
419,0.140053,0.106102
420,0.092212,0.255559
421,0.086351,0.113407
422,0.116725,0.084792
423,0.094666,0.126802
424,0.097048,0.292086
425,0.134651,0.147921
426,0.151954,0.119154
427,0.101994,0.094986
428,0.131088,0.099461
429,0.102047,0.07895
430,0.135097,0.104048
431,0.082609,0.125508
432,0.11586,0.129544
433,0.106893,0.095571
434,0.117375,0.272792
435,0.096052,0.088796
436,0.137422,0.106751
437,0.147003,0.144371
438,0.093984,0.136306
439,0.106352,0.152805
440,0.140952,0.11295
441,0.103156,0.080981
442,0.118873,0.145288
443,0.098032,0.118394
444,0.110071,0.122021
445,0.099927,0.11214
446,0.098336,0.088224
447,0.091168,0.092587
448,0.116158,0.133185
449,0.099684,0.127822
450,0.105606,0.078075
451,0.090426,0.082294
452,0.166162,0.121982
453,0.229631,0.099599
454,0.132477,0.082662
455,0.093977,0.102447
456,0.101953,0.124085
457,0.112471,0.188758
458,0.105321,0.104801
459,0.09821,0.099532
460,0.096737,0.088785
461,0.111932,0.093116
462,0.084244,0.112452
463,0.104586,0.130892
464,0.134035,0.169976
465,0.091926,0.100776
466,0.143793,0.096694
467,0.095896,0.101863
468,0.106841,0.094485
469,0.112814,0.089093
470,0.135824,0.100814
471,0.109008,0.097475
472,0.114688,0.078652
473,0.316402,0.139654
474,0.107072,0.080702
475,0.102929,0.121187
476,0.085578,0.134262
477,0.148586,0.09794
478,0.081452,0.088594
479,0.088908,0.101056
480,0.127285,0.096024
481,0.116587,0.081514
482,0.106027,0.097242
483,0.097669,0.086478
484,0.100909,0.117944
485,0.109394,0.084436
486,0.101075,0.126873
487,0.126647,0.137186
488,0.111736,0.092518
489,0.145072,0.083681
490,0.094761,0.103762
491,0.100919,0.093362
492,0.10588,0.089545
493,0.119735,0.130191
494,0.098824,0.10686
495,0.090796,0.080869
496,0.116592,0.08926
497,0.113118,0.110281
498,0.087612,0.132011
499,0.096522,0.100343
500,0.135241,0.094097
501,0.12021,0.12803
502,0.126879,0.133199
503,0.129964,0.115711
504,0.094058,0.081213
505,0.106937,0.093916
506,0.261808,0.100061
507,0.163817,0.108178
508,0.119118,0.101896
509,0.084573,0.104175
510,0.134841,0.294778
511,0.093615,0.134421
512,0.102553,0.120862
513,0.105957,0.11502
514,0.121065,0.133693
515,0.097189,0.206622
516,0.116229,0.091136
517,0.101595,0.089935
518,0.094138,0.08347
519,0.120008,0.216024
520,0.100395,0.089625
521,0.110175,0.101092
522,0.142278,0.117393
523,0.14383,0.083868
524,0.116575,0.123712
525,0.145941,0.122882
526,0.110333,0.117038
527,0.096395,0.099577
528,0.090925,0.111096
529,0.123618,0.105097
530,0.108009,0.09238
531,0.11328,0.081321
532,0.098997,0.128743
533,0.103473,0.108278
534,0.105815,0.090737
535,0.098393,0.131019
536,0.118793,0.135057
537,0.112421,0.084622
538,0.104436,0.141349
539,0.104872,0.13397
540,0.153963,0.096811
541,0.100251,0.099374
542,0.101733,0.105312
543,0.095771,0.125031
544,0.14344,0.126328
545,0.090657,0.092264
546,0.104588,0.079293
547,0.109513,0.114162
548,0.107911,0.119166
549,0.134205,0.141024
550,0.119674,0.125956
551,0.128053,0.091301
552,0.130139,0.101466
553,0.133084,0.113985
